group,family,simplified_species,commum_name,threat_category,acronym_threat_category,presence_in_protected_areas,national_action_plan_for_conservation_,fishing_planning,level_of_protection_in_the_national_strategy,exclusive_species_of_brazil,occurrence_states_y,main_threats_y,biome,category,lats_longs_animals
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,RJ,Agriculture,Marine,Sharks,[-43.00519293 -22.61936106]
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,RN,Agriculture,Marine,Sharks,[-35.39797522  -5.07728725]
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,RS,Agriculture,Marine,Sharks,[-52.52889556 -32.97924917]
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,SC,Agriculture,Marine,Sharks,[-48.59246017 -26.527054  ]
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,SE,Agriculture,Marine,Sharks,[-37.95994688  -9.54709665]
Marine Fish,Carcharhinidae,Carcharhinus plumbeus,Bigeye Thresher Shark,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,SP,Agriculture,Marine,Sharks,[-45.24870773 -23.83687676]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,AL,Agriculture,Marine,Sharks,[-35.63285241  -9.586904  ]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,AP,Agriculture,Marine,Sharks,[-53.73859717   1.41502403]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,BA,Agriculture,Marine,Sharks,[-43.60063588 -14.66165786]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,CE,Agriculture,Marine,Sharks,[-38.65287041  -6.71472304]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,ES,Agriculture,Marine,Sharks,[-41.13064053 -21.21720889]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,MA,Agriculture,Marine,Sharks,[-43.96554014  -2.4087341 ]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PA,Agriculture,Marine,Sharks,[-48.3408886  -6.2506139]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PB,Agriculture,Marine,Sharks,[-38.59200033  -6.49532374]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PE,Agriculture,Marine,Sharks,[-35.95296504  -7.79638337]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PI,Agriculture,Marine,Sharks,[-43.93143362 -10.3844762 ]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PR,Agriculture,Marine,Sharks,[-49.23749164 -25.89723368]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,RJ,Agriculture,Marine,Sharks,[-43.42136383 -22.03397793]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,RN,Agriculture,Marine,Sharks,[-37.32262911  -5.98711062]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,RS,Agriculture,Marine,Sharks,[-56.62637185 -29.31961209]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SC,Agriculture,Marine,Sharks,[-49.84429754 -26.02837239]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SE,Agriculture,Marine,Sharks,[-37.93978463 -11.19544112]
Marine Fish,Carcharhinidae,Carcharhinus porosus,Oil Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SP,Agriculture,Marine,Sharks,[-48.94227884 -20.11607401]
Marine Fish,Carcharhinidae,Carcharhinus signatus,Night Shark,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,RS,Agriculture,Marine,Sharks,[-55.53161821 -30.83631141]
Marine Fish,Carcharhinidae,Carcharhinus signatus,Night Shark,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,RS,Fishing,Marine,Sharks,[-51.10683649 -30.22793307]
Marine Fish,Carcharhinidae,Carcharhinus signatus,Night Shark,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,SC,Agriculture,Marine,Sharks,[-48.48961288 -27.52619665]
Marine Fish,Carcharhinidae,Carcharhinus signatus,Night Shark,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,SC,Fishing,Marine,Sharks,[-50.2464347 -26.0303349]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PR,Agriculture,Marine,Sharks,[-47.82942801 -23.85256397]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,PR,Energy production,Marine,Sharks,[-48.82512768 -26.00906779]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,RS,Agriculture,Marine,Sharks,[-55.33945369 -30.92997883]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,RS,Energy production,Marine,Sharks,[-54.04123954 -31.85645904]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SC,Agriculture,Marine,Sharks,[-50.13623303 -26.05709789]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SC,Energy production,Marine,Sharks,[-48.42754113 -27.15167292]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SP,Agriculture,Marine,Sharks,[-47.1110076  -20.72154312]
Marine Fish,Odontaspididae,Carcharias taurus,Mangona Shark,Critically Endangered (CR),CR,Yes,Yes,No,2.0,No,SP,Energy production,Marine,Sharks,[-45.7030748  -22.74451403]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,AL,Agriculture,Marine,Sharks,[-36.8025683  -10.09270877]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,AP,Agriculture,Marine,Sharks,[-52.2955247    3.14164777]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,BA,Agriculture,Marine,Sharks,[-43.68305876  -9.73755651]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,CE,Agriculture,Marine,Sharks,[-38.68304213  -7.50418952]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,ES,Agriculture,Marine,Sharks,[-41.62596219 -21.097928  ]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,MA,Agriculture,Marine,Sharks,[-44.45103223  -1.88251303]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,PA,Agriculture,Marine,Sharks,[-57.99175406   1.57657725]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,PB,Agriculture,Marine,Sharks,[-38.13292654  -5.90859328]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,PE,Agriculture,Marine,Sharks,[-36.8459022   -9.34145766]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,PI,Agriculture,Marine,Sharks,[-45.86018228 -10.15987668]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,PR,Agriculture,Marine,Sharks,[-53.65170515 -24.74991452]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,RJ,Agriculture,Marine,Sharks,[-43.59082138 -22.92811305]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,RN,Agriculture,Marine,Sharks,[-36.02381765  -4.99873768]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,RS,Agriculture,Marine,Sharks,[-50.55000529 -30.3795973 ]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,SC,Agriculture,Marine,Sharks,[-52.4417925  -27.19866436]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,SE,Agriculture,Marine,Sharks,[-37.94950762 -11.35675256]
Marine Fish,Lamnidae,Carcharodon carcharias,Great White Shark,Vulnerable (VU),VU,Yes,Yes,No,3.0,No,SP,Agriculture,Marine,Sharks,[-44.80578925 -23.06753455]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,AL,Damming/Drainage,Marine,Arthropods,[-35.36907761  -9.30715701]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,AL,Transport,Marine,Arthropods,[-35.26553554  -9.09317416]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,BA,Damming/Drainage,Marine,Arthropods,[-41.22030363  -8.67616074]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,BA,Transport,Marine,Arthropods,[-40.56162644 -17.2972952 ]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,CE,Damming/Drainage,Marine,Arthropods,[-41.02621217  -4.14626775]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,CE,Transport,Marine,Arthropods,[-37.33025598  -4.67436793]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,ES,Damming/Drainage,Marine,Arthropods,[-40.70870735 -20.82173249]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,ES,Transport,Marine,Arthropods,[-40.52219531 -20.79615105]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,PB,Damming/Drainage,Marine,Arthropods,[-36.72170591  -6.04231729]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,PB,Transport,Marine,Arthropods,[-38.47947375  -7.28051519]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,PE,Damming/Drainage,Marine,Arthropods,[-35.71883365  -8.78763203]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,PE,Transport,Marine,Arthropods,[-35.97709822  -7.76120176]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,RJ,Damming/Drainage,Marine,Arthropods,[-42.52899327 -22.91665802]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,RJ,Transport,Marine,Arthropods,[-43.53508296 -22.00473006]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,RN,Damming/Drainage,Marine,Arthropods,[-38.54210745  -6.2258327 ]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,RN,Transport,Marine,Arthropods,[-36.46039217  -6.48445207]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SC,Damming/Drainage,Marine,Arthropods,[-51.75687601 -26.57709174]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SC,Transport,Marine,Arthropods,[-53.51909479 -26.22222566]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SE,Damming/Drainage,Marine,Arthropods,[-36.50024642 -10.42421488]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SE,Transport,Marine,Arthropods,[-37.71916819 -11.40164877]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SP,Damming/Drainage,Marine,Arthropods,[-48.57546128 -24.97838439]
Aquatic Invertebrates,Gecarcinidae,Cardisoma guanhumi,Swimming Crab,Critically Endangered (CR),CR,Yes,Yes,Yes,3.0,No,SP,Transport,Marine,Arthropods,[-52.42832054 -22.51164415]
Aquatic Invertebrates,Cassidulidae,Cassidulus mitis,Sea Urchin,Endangered (EN),EN,Yes,No,No,2.0,Yes,RJ,Fishing,Marine,Freshwater Fish,[-43.29566597 -22.00177542]
Aquatic Invertebrates,Cassidulidae,Cassidulus mitis,Sea Urchin,Endangered (EN),EN,Yes,No,No,2.0,Yes,SP,Fishing,Marine,Freshwater Fish,[-52.87342192 -22.56027237]
Marine Fish,Microdesmidae,Cerdale fasciata,Striped Wormfish,Endangered (EN),EN,Yes,Yes,Yes,3.0,Yes,BA,Agriculture,Marine,Other,[-46.25028058 -13.27657155]
Marine Fish,Microdesmidae,Cerdale fasciata,Striped Wormfish,Endangered (EN),EN,Yes,Yes,Yes,3.0,Yes,BA,Human Settlement,Marine,Other,[-37.55525514 -11.42076595]
Marine Fish,Microdesmidae,Cerdale fasciata,Striped Wormfish,Endangered (EN),EN,Yes,Yes,Yes,3.0,Yes,BA,Exotic Species,Marine,Other,[-39.51863846  -8.60187717]
Marine Fish,Microdesmidae,Cerdale fasciata,Striped Wormfish,Endangered (EN),EN,Yes,Yes,Yes,3.0,Yes,BA,Wildfires,Marine,Other,[-45.33260142 -10.62201236]
Marine Fish,Cetorhinidae,Cetorhinus maximus,Wandering Tattler,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,RS,Agriculture,Marine,Sharks,[-50.07586977 -29.08238241]
Marine Fish,Cetorhinidae,Cetorhinus maximus,Wandering Tattler,Critically Endangered (CR),CR,Yes,Yes,Yes,2.0,No,SC,Agriculture,Marine,Sharks,[-53.00393418 -26.31589751]
Freshwater Fish,Crenuchidae,Characidium grajahuensis,Penknife Fish,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,RJ,Human Settlement,Atlantic Forest,Fish,[-43.69558769 -22.02002116]
Freshwater Fish,Crenuchidae,Characidium heirmostigmata,Penknife ,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Human Settlement,Atlantic Forest,Fish,[-48.45492504 -24.33236285]
Freshwater Fish,Crenuchidae,Characidium heirmostigmata,Penknife ,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Fishing,Atlantic Forest,Fish,[-53.75778133 -25.36345755]
Freshwater Fish,Crenuchidae,Characidium oiticicai,Penknife ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,SP,Agriculture,Cerrado,Fish,[-46.85676667 -21.32584528]
Freshwater Fish,Crenuchidae,Characidium oiticicai,Penknife ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,SP,Agriculture,Atlantic Forest,Fish,[-44.51770495 -22.58883643]
Freshwater Fish,Crenuchidae,Characidium oiticicai,Penknife ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,SP,Human Settlement,Cerrado,Fish,[-45.32588837 -23.8396111 ]
Freshwater Fish,Crenuchidae,Characidium oiticicai,Penknife ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,SP,Human Settlement,Atlantic Forest,Fish,[-45.39007268 -23.76908725]
Freshwater Fish,Crenuchidae,Characidium vestigipinne,Unknown,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,RS,Human Settlement,Atlantic Forest,Fish,[-55.52487407 -28.10596315]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MG,Fishing,Caatinga,Fish,[-47.95665329 -18.34712239]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MG,Fishing,Cerrado,Fish,[-50.18493576 -19.76896942]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MG,Pollution,Caatinga,Fish,[-42.15240226 -21.62760233]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,MG,Pollution,Cerrado,Fish,[-43.39861657 -13.77013813]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,SP,Fishing,Caatinga,Fish,[-44.98502287 -23.49957281]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,SP,Fishing,Cerrado,Fish,[-44.97975459 -23.5076718 ]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,SP,Pollution,Caatinga,Fish,[-45.3795681  -23.66295976]
Freshwater Fish,Heptapteridae,Chasmocranus brachynema,Corydoras,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,SP,Pollution,Cerrado,Fish,[-45.19766858 -23.90250932]
Marine Fish,Serranidae,Choranthias salmopunctatus,Sea Canary,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,PE,Fishing,Marine,Fish,[-40.67597824  -9.33644053]
Marine Fish,Serranidae,Choranthias salmopunctatus,Sea Canary,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,PE,Coral Removal,Marine,Fish,[-38.85171253  -7.6890659 ]
Marine Fish,Serranidae,Choranthias salmopunctatus,Sea Canary,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,PE,Transport,Marine,Fish,[-35.79510579  -8.80248729]
Freshwater Fish,Poeciliidae,Cnesterodon carnegiei,Big Belly ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,PR,Fishing,Atlantic Forest,Fish,[-50.18776815 -25.60270202]
Freshwater Fish,Poeciliidae,Cnesterodon carnegiei,Big Belly ,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,PR,Pollution,Atlantic Forest,Fish,[-47.59820933 -24.80293035]
Freshwater Fish,Poeciliidae,Cnesterodon hypselurus,Big Belly ,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PR,Fishing,Atlantic Forest,Fish,[-47.09922118 -25.09621636]
Freshwater Fish,Poeciliidae,Cnesterodon hypselurus,Big Belly ,Endangered (EN),EN,Yes,Yes,No,2.0,Yes,PR,Pollution,Atlantic Forest,Fish,[-53.175499   -25.48409122]
Freshwater Fish,Poeciliidae,Cnesterodon iguape,Guarú-de-apiaí,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Aquaculture Agriculture,Atlantic Forest,Fish,[-45.24676463 -23.55151426]
Freshwater Fish,Poeciliidae,Cnesterodon iguape,Guarú-de-apiaí,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Fishing,Atlantic Forest,Fish,[-46.93115079 -21.42213055]
Freshwater Fish,Poeciliidae,Cnesterodon iguape,Guarú-de-apiaí,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Mining,Atlantic Forest,Fish,[-48.59708249 -24.59823391]
Freshwater Fish,Poeciliidae,Cnesterodon iguape,Guarú-de-apiaí,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Transport,Atlantic Forest,Fish,[-50.38406551 -22.85039675]
Freshwater Fish,Poeciliidae,Cnesterodon iguape,Guarú-de-apiaí,Critically Endangered (CR),CR,No,Yes,No,1.0,Yes,SP,Pollution,Atlantic Forest,Fish,[-44.64064965 -22.45517505]
Freshwater Fish,Poeciliidae,Cnesterodon omorgmatos,Barrigudinho,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Aquaculture Agriculture,Atlantic Forest,Fish,[-50.54736043 -25.6100922 ]
Freshwater Fish,Poeciliidae,Cnesterodon omorgmatos,Barrigudinho,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Fishing,Atlantic Forest,Fish,[-52.68600072 -26.14046124]
Freshwater Fish,Poeciliidae,Cnesterodon omorgmatos,Barrigudinho,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Mining,Atlantic Forest,Fish,[-53.24300247 -25.372169  ]
Freshwater Fish,Poeciliidae,Cnesterodon omorgmatos,Barrigudinho,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Transport,Atlantic Forest,Fish,[-53.88227397 -24.64397765]
Freshwater Fish,Poeciliidae,Cnesterodon omorgmatos,Barrigudinho,Endangered (EN),EN,No,Yes,No,1.0,Yes,PR,Pollution,Atlantic Forest,Fish,[-48.84280572 -25.532901  ]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,BA,Fishing,Marine,Freshwater Fish,[-42.87781963 -14.66151051]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,BA,Pathogens/Parasites,Marine,Freshwater Fish,[-41.82148554  -9.18344007]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,ES,Fishing,Marine,Freshwater Fish,[-41.77446581 -20.70487688]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,ES,Pathogens/Parasites,Marine,Freshwater Fish,[-40.26853674 -20.30017179]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,RJ,Fishing,Marine,Freshwater Fish,[-44.68301593 -23.09238876]
Aquatic Invertebrates,Actiniidae,Condylactis gigantea,Giant Anemone,Endangered (EN),EN,Yes,Yes,No,2.0,No,RJ,Pathogens/Parasites,Marine,Freshwater Fish,[-44.24131012 -23.12917586]
Freshwater Fish,Pimelodidae,Conorhynchos conirostris,Giant Armadillo,Endangered (EN),EN,No,Yes,Yes,1.0,Yes,AL,Fishing,Cerrado,Fish,[-37.05336427  -9.28638519]
Freshwater Fish,Pimelodidae,Conorhynchos conirostris,Giant Armadillo,Endangered (EN),EN,No,Yes,Yes,1.0,Yes,BA,Fishing,Cerrado,Fish,[-40.26888307 -16.73572261]
Freshwater Fish,Pimelodidae,Conorhynchos conirostris,Giant Armadillo,Endangered (EN),EN,No,Yes,Yes,1.0,Yes,MG,Fishing,Cerrado,Fish,[-42.99924326 -21.5581374 ]
Freshwater Fish,Pimelodidae,Conorhynchos conirostris,Giant Armadillo,Endangered (EN),EN,No,Yes,Yes,1.0,Yes,PE,Fishing,Cerrado,Fish,[-39.83473236  -8.82466965]
Freshwater Fish,Characidae,Coptobrycon bilineatus,Two-lined Piquira,Vulnerable (VU),VU,Yes,Yes,No,2.0,Yes,SP,Fishing,Atlantic Forest,Fish,[-45.40736439 -23.80509207]
Freshwater Fish,Loricariidae,Corumbataia britskii,Suckerfish,Vulnerable (VU),VU,No,Yes,No,1.0,Yes,MS,Fishing,Cerrado,Freshwater Fish,[-55.02227151 -16.48964834]
Aquatic Invertebrates,Metaniidae,Corvomeyenia epilithosa,Sponge,Vulnerable (VU),VU,Yes,No,No,2.0,Yes,RS,Fishing,Atlantic Forest,Freshwater Fish,[-50.43227266 -28.3142046 ]
Freshwater Fish,Callichthyidae,Corydoras lacerdai,Unknown,Endangered (EN),EN,Yes,Yes,Yes,3.0,Yes,BA,Fishing,Atlantic Forest,Freshwater Fish,[-38.19426169 -10.9291827 ]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,AL,Fishing,Marine,Starfish,[-36.261931    -9.16322265]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,AP,Fishing,Marine,Starfish,[-51.51860761   4.30052812]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,BA,Fishing,Marine,Starfish,[-40.53681119 -15.66118745]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,CE,Fishing,Marine,Starfish,[-37.70725441  -5.20126507]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,ES,Fishing,Marine,Starfish,[-41.17081542 -21.13843886]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,MA,Fishing,Marine,Starfish,[-46.59169857  -2.65270421]
Aquatic Invertebrates,Asteriidae,Coscinasterias tenuispina,Starfish,Vulnerable (VU),VU,Yes,Yes,No,2.0,No,PB,Fishing,Marine,Starfish,[-36.72679552  -6.46657113]
